MonthDate;CompanyCode;CompanyName;Country;Operation;EventType;SearchTerm;DeviceCategory;ContentType;ContentTitle;DownloadLanguage;Theme;Route;UniqueUsers;DateRange
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;How to Maintain Your Identity in the Face of Peer Pressure;-;Relationships;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Toolkit;Toolkit for Reducing Substance Use;-;Healthy workplace,Substance use,Substance;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Video;Mental health support: What happens when you contact Lyra?;-;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;How to Prioritize When Everything Feels Urgent;-;Prioritization,Change;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;10 Affirmations for Confidence and Self-esteem;-;Mental wellbeing,Personal growth,Affirmation;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Toolkit;Goal-planning Toolkit;-;Personal growth,Motivation;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;14 Days to Better Interpersonal Skills;-;Personal growth,Healthy workplace;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;How to Talk to Loved Ones About Your Mental Health Needs;-;Mental wellbeing;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DLA001;DLA Piper;United Kingdom;Lyra Health International Ltd;download;-;Desktop;Infosheet;How to Take Care of Yourself During Perimenopause;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DLA001;DLA Piper;United Kingdom;Lyra Health International Ltd;download;-;Desktop;Infosheet;Menopause Myths and Misconceptions;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DLA001;DLA Piper;United Kingdom;Lyra Health International Ltd;download;-;Desktop;Infosheet;Embracing Your Body During Menopause;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DLA001;DLA Piper;United Kingdom;Lyra Health International Ltd;download;-;Desktop;Infosheet;Lyra Wellbeing Hub Guide;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DLA001;DLA Piper;United Kingdom;Lyra Health International Ltd;download;-;Desktop;Infosheet;FAQs: Your Personal Hub Account;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DLA001;DLA Piper;United Kingdom;Lyra Health International Ltd;download;-;Desktop;Infosheet;Signs of Perimenopause and Menopause;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DLA001;DLA Piper;United Kingdom;Lyra Health International Ltd;download;-;Desktop;Video;Lyra Wellbeing EAP Briefing Video;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DLA001;DLA Piper;United Kingdom;Lyra Health International Ltd;download;-;Desktop;Infosheet;Hub App Promo Leaflet;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DLA001;DLA Piper;United Kingdom;Lyra Health International Ltd;download;-;Desktop;Infosheet;What to Expect When You Contact Lyra;en;;Search;1;2026-07-01 - 2026-07-31
